Dataset,Model,Metric,Count,Mean,Std,Min,Q25,Median,Q75,Max
XSUM,DistilBART,EF1_after,200,0.09992989417989417,0.12425818238393693,0.0,0.0,0.0,0.1904761904761905,0.5
XSUM,DistilBART,EHI_CAL_before,200,0.30932678294452304,0.19453020626990625,0.020532319391634978,0.12615442489253287,0.3303153988868274,0.42564623252231143,0.8360311704343797
XSUM,DistilBART,EHI_CAL_after,200,0.29862138009754796,0.19282490764182877,0.023376623376623377,0.11885547442536228,0.2915313745825239,0.4,0.8328345519469478
XSUM,DistilBART,EHI_EXP_before,200,0.3784260297932203,0.038098377731105054,0.243328146776419,0.3614240909422969,0.3870390927451448,0.4,0.4590906845548705
XSUM,DistilBART,EHI_EXP_after,200,0.37870860680083884,0.033474975890291976,0.25420359564420647,0.3602797080783213,0.3831364335448369,0.4,0.4590906845548705
XSUM,DistilBART,EHI_W_before,200,0.2549938829918109,0.2900278628353625,0.0,0.0,0.0,0.4913643231690013,0.92344148742253
XSUM,DistilBART,EHI_W_after,200,0.24219284734438523,0.2868312303165395,0.0,0.0,0.0,0.481775272374515,0.9151219512195121
XSUM,DistilBART,EHI_before,200,0.30932678294452304,0.19453020626990625,0.020532319391634978,0.12615442489253287,0.3303153988868274,0.42564623252231143,0.8360311704343797
XSUM,DistilBART,EHI_after,200,0.29862138009754796,0.19282490764182877,0.023376623376623377,0.11885547442536228,0.2915313745825239,0.4,0.8328345519469478
XSUM,Mistral,EF_before,200,0.01937561102656634,0.039282895216967685,0.0,0.0,0.0,0.02454268292682927,0.3333333333333333
XSUM,Mistral,EF_after,200,0.017382558630785697,0.03124859040158463,0.0,0.0,0.0,0.02470293933708568,0.14285714285714285
XSUM,Mistral,PH_before,200,0.07481349206349205,0.12467214817386277,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666
XSUM,Mistral,PH_after,200,0.062400793650793644,0.09833393913402301,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994
XSUM,Mistral,OF_before,200,0.08713007139982333,0.10549694814065837,-0.05128205128205128,0.015873015873015872,0.05128205128205128,0.11231884057971016,0.5714285714285714
XSUM,Mistral,OF_after,200,0.0762185011933963,0.08583288334025367,-0.1111111111111111,0.01354552430520802,0.05128205128205128,0.10256410256410256,0.41025641025641024
XSUM,Mistral,NH_before,200,0.5207579365079366,0.26772345146199705,0.0,0.33333333333333337,0.5555555555555556,0.6666666666666667,1.0
XSUM,Mistral,NH_after,200,0.499670634920635,0.27453653458582455,0.0,0.33333333333333337,0.5166666666666668,0.6666666666666667,1.0
XSUM,Mistral,LF_before,200,0.1490138888888889,0.20789855945317687,-2.7755575615628914e-17,0.0,0.06666666666666667,0.26666666666666666,1.3333333333333333
XSUM,Mistral,LF_after,200,0.1573670634920635,0.22571457773824258,0.0,0.0,0.08333333333333333,0.33333333333333326,1.3333333333333333
XSUM,Mistral,EF1_before,200,0.07481349206349205,0.12467214817386277,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666
XSUM,Mistral,EF1_after,200,0.062400793650793644,0.09833393913402301,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994
XSUM,Mistral,EHI_CAL_before,200,0.1440757404241595,0.1519253332555977,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656
XSUM,Mistral,EHI_CAL_after,200,0.14119580547975283,0.1329651790810785,0.017647058823529408,0.03304288743286568,0.06491228070175438,0.1974615452206902,0.4062129127149161
XSUM,Mistral,EHI_EXP_before,200,0.34593534464500275,0.03910593777418898,0.2370633449034637,0.32096036091448954,0.3422279746335708,0.3666329210872545,0.5066505555895623
XSUM,Mistral,EHI_EXP_after,200,0.345966834226395,0.03559292131551958,0.24383376554583022,0.3247588615728561,0.34610128226187054,0.36643398834062413,0.41466373512583327
XSUM,Mistral,EHI_W_before,200,0.10410765135654433,0.17094149388236143,0.0,0.0,0.0,0.20054990331639874,0.9999999999999999
XSUM,Mistral,EHI_W_after,200,0.08923480430265968,0.13486458057789977,0.0,0.0,0.0,0.20388720314308764,0.5090019227407797
XSUM,Mistral,EHI_before,200,0.1440757404241595,0.1519253332555977,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656
XSUM,Mistral,EHI_after,200,0.14119580547975283,0.1329651790810785,0.017647058823529408,0.03304288743286568,0.06491228070175438,0.1974615452206902,0.4062129127149161
Dialogset,Mistral,EF_before,200,0.01937561102656634,0.039282895216967685,0.0,0.0,0.0,0.02454268292682927,0.3333333333333333
Dialogset,Mistral,EF_after,200,0.017382558630785697,0.03124859040158463,0.0,0.0,0.0,0.02470293933708568,0.14285714285714285
Dialogset,Mistral,PH_before,200,0.07481349206349205,0.12467214817386277,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666
Dialogset,Mistral,PH_after,200,0.062400793650793644,0.09833393913402301,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994
Dialogset,Mistral,OF_before,200,0.08713007139982333,0.10549694814065837,-0.05128205128205128,0.015873015873015872,0.05128205128205128,0.11231884057971016,0.5714285714285714
Dialogset,Mistral,OF_after,200,0.0762185011933963,0.08583288334025367,-0.1111111111111111,0.01354552430520802,0.05128205128205128,0.10256410256410256,0.41025641025641024
Dialogset,Mistral,NH_before,200,0.5207579365079366,0.26772345146199705,0.0,0.33333333333333337,0.5555555555555556,0.6666666666666667,1.0
Dialogset,Mistral,NH_after,200,0.499670634920635,0.27453653458582455,0.0,0.33333333333333337,0.5166666666666668,0.6666666666666667,1.0
Dialogset,Mistral,LF_before,200,0.1490138888888889,0.20789855945317687,-2.7755575615628914e-17,0.0,0.06666666666666667,0.26666666666666666,1.3333333333333333
Dialogset,Mistral,LF_after,200,0.1573670634920635,0.22571457773824258,0.0,0.0,0.08333333333333333,0.33333333333333326,1.3333333333333333
Dialogset,Mistral,EF1_before,200,0.07481349206349205,0.12467214817386277,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666
Dialogset,Mistral,EF1_after,200,0.062400793650793644,0.09833393913402301,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994
Dialogset,Mistral,EHI_CAL_before,200,0.1440757404241595,0.1519253332555977,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656
Dialogset,Mistral,EHI_CAL_after,200,0.34119580547975287,0.13296517908107852,0.21764705882352942,0.2330428874328657,0.2649122807017544,0.3974615452206902,0.6062129127149161
