Dataset,Model,Metric,Base_Metric,Category,Count,Mean,Std,CV,Skewness,Kurtosis,Min,Q25,Median,Q75,Max,IQR,Range
XSUM,Mistral,NH_before,NH,Before,200,0.5207579365079366,0.26772345146199705,0.5141034494016143,-0.4866077561532411,-0.16510275152975984,0.0,0.33333333333333337,0.5555555555555556,0.6666666666666667,1.0,0.33333333333333337,1.0
XSUM,Mistral,NH_after,NH,After,200,0.499670634920635,0.27453653458582455,0.5494349985754725,-0.3922869536601431,-0.4340338876816938,0.0,0.33333333333333337,0.5166666666666668,0.6666666666666667,1.0,0.33333333333333337,1.0
XSUM,Mistral,LF_before,LF,Before,200,0.1490138888888889,0.20789855945317687,1.3951622966379658,2.0507365571542473,6.098978372474945,-2.7755575615628914e-17,0.0,0.06666666666666667,0.26666666666666666,1.3333333333333333,0.26666666666666666,1.3333333333333333
XSUM,Mistral,LF_after,LF,After,200,0.1573670634920635,0.22571457773824258,1.4343190546325855,2.1690341711881658,6.573220519110905,0.0,0.0,0.08333333333333333,0.33333333333333326,1.3333333333333333,0.33333333333333326,1.3333333333333333
XSUM,Mistral,EF1_before,EF1,Before,200,0.07481349206349205,0.12467214817386277,1.6664393645474684,2.021811398286171,4.84522545049189,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666,0.14166666666666666,0.6666666666666666
XSUM,Mistral,EF1_after,EF1,After,200,0.062400793650793644,0.09833393913402301,1.575844366408509,1.6163890259668503,2.5498124463124894,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994,0.13333333333333333,0.49999999999999994
XSUM,Mistral,EHI_CAL_before,EHI_CAL,Before,200,0.1440757404241595,0.1519253332555977,1.0544824049373545,1.5343905227626895,2.938357246086947,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656,0.18014540509056912,0.9148817284410503
XSUM,Mistral,EHI_CAL_after,EHI_CAL,After,200,0.14119580547975283,0.1329651790810785,0.9417077131242784,0.9273823132675738,-0.5334481825418953,0.017647058823529408,0.03304288743286568,0.06491228070175438,0.1974615452206902,0.4062129127149161,0.16441865778782452,0.3885658538913867
XSUM,Mistral,EHI_EXP_before,EHI_EXP,Before,200,0.34593534464500275,0.03910593777418898,0.11304406554444245,0.48899489046130074,1.2097224293393998,0.2370633449034637,0.32096036091448954,0.3422279746335708,0.3666329210872545,0.5066505555895623,0.04567256017276494,0.2695872106860986
XSUM,Mistral,EHI_EXP_after,EHI_EXP,After,200,0.345966834226395,0.03559292131551958,0.10287957628975544,-0.17928359265087918,-0.2736803320856067,0.24383376554583022,0.3247588615728561,0.34610128226187054,0.36643398834062413,0.41466373512583327,0.04167512676776802,0.17082996958000304
XSUM,Mistral,EHI_W_before,EHI_W,Before,200,0.10410765135654433,0.17094149388236143,1.6419685936139972,1.956465414060145,4.683959374426712,0.0,0.0,0.0,0.20054990331639874,0.9999999999999999,0.20054990331639874,0.9999999999999999
XSUM,Mistral,EHI_W_after,EHI_W,After,200,0.08923480430265968,0.13486458057789977,1.5113450590475501,1.2373782481723623,0.3992805044375678,0.0,0.0,0.0,0.20388720314308764,0.5090019227407797,0.20388720314308764,0.5090019227407797
XSUM,Mistral,EHI_before,EHI,Before,200,0.1440757404241595,0.1519253332555977,1.0544824049373545,1.5343905227626895,2.938357246086947,0.015384615384615382,0.031172068936000226,0.05053836718004634,0.21131747402656934,0.9302663438256656,0.18014540509056912,0.9148817284410503
XSUM,Mistral,EHI_after,EHI,After,200,0.14119580547975283,0.1329651790810785,0.9417077131242784,0.9273823132675738,-0.5334481825418953,0.017647058823529408,0.03304288743286568,0.06491228070175438,0.1974615452206902,0.4062129127149161,0.16441865778782452,0.3885658538913867
Dialogset,Mistral,EF_before,EF,Before,200,0.01937561102656634,0.039282895216967685,2.0274403301710597,3.644314571981024,20.97461723377784,0.0,0.0,0.0,0.02454268292682927,0.3333333333333333,0.02454268292682927,0.3333333333333333
Dialogset,Mistral,EF_after,EF,After,200,0.017382558630785697,0.03124859040158463,1.7976979721639623,2.102179865194034,4.119461945183342,0.0,0.0,0.0,0.02470293933708568,0.14285714285714285,0.02470293933708568,0.14285714285714285
Dialogset,Mistral,PH_before,PH,Before,200,0.07481349206349205,0.12467214817386277,1.6664393645474684,2.021811398286171,4.84522545049189,0.0,0.0,0.0,0.14166666666666666,0.6666666666666666,0.14166666666666666,0.6666666666666666
Dialogset,Mistral,PH_after,PH,After,200,0.062400793650793644,0.09833393913402301,1.575844366408509,1.6163890259668503,2.5498124463124894,0.0,0.0,0.0,0.13333333333333333,0.49999999999999994,0.13333333333333333,0.49999999999999994
Dialogset,Mistral,OF_before,OF,Before,200,0.08713007139982333,0.10549694814065837,1.210798366691942,2.0801535395945865,5.11557369927563,-0.05128205128205128,0.015873015873015872,0.05128205128205128,0.11231884057971016,0.5714285714285714,0.09644582470669429,0.6227106227106227
Dialogset,Mistral,OF_after,OF,After,200,0.0762185011933963,0.08583288334025367,1.1261423669623454,1.6102754965233692,2.6560460652901368,-0.1111111111111111,0.01354552430520802,0.05128205128205128,0.10256410256410256,0.41025641025641024,0.08901857825889455,0.5213675213675213
